order_id,user_id,order_time,location,items_ordered,total_amount,payment_method,delivery_time,delivery_duration_mins,delivered_on_time
ORD100000,USR2824,2025-06-12 21:51:56,Hyderabad,Fruits,624.36,UPI,2025-06-12 22:07:56,16.0,1
ORD100001,USR1409,2025-06-09 12:46:07,Pune,"Snacks, Eggs, Bread",1431.0,Wallet,2025-06-09 13:30:07,44.0,1
ORD100002,USR5506,2025-06-23 18:57:12,Chennai,"Rice, Milk, Vegetables",1124.79,Cash,2025-06-23 20:01:12,64.0,0
ORD100003,USR5012,2025-06-20 22:02:07,Chennai,"Fruits, Bread",938.12,Wallet,2025-06-20 22:25:07,23.0,1
ORD100004,USR4657,2025-06-25 19:43:17,Hyderabad,"Vegetables, Bread, Milk",318.43,Wallet,2025-06-25 20:02:17,19.0,1
ORD100005,USR3286,2025-06-26 16:02:59,Mumbai,Juice,318.39,UPI,2025-06-26 17:31:59,89.0,0
ORD100006,USR2679,2025-06-21 22:07:58,Kolkata,"Juice, Eggs, Sugar, Fruits",181.32,Cash,2025-06-21 22:32:58,25.0,1
ORD100007,USR9935,2025-06-12 18:21:27,Chennai,"Snacks, Flour, Juice, Milk",1312.65,UPI,2025-06-12 19:24:27,63.0,0
ORD100008,USR2424,2025-06-26 14:35:38,Hyderabad,"Sugar, Fruits, Eggs, Flour",941.56,UPI,2025-06-26 16:01:38,86.0,0
ORD100009,USR7912,2025-06-07 13:47:59,Bangalore,Milk,1091.3,Card,2025-06-07 15:06:59,79.0,0
ORD100010,USR1520,2025-06-07 14:59:49,Mumbai,"Milk, Snacks, Vegetables",128.82,UPI,2025-06-07 15:52:49,53.0,0
ORD100011,USR1488,2025-06-29 19:13:36,Kolkata,Bread,1457.87,UPI,2025-06-29 20:35:36,82.0,0
ORD100012,USR2535,2025-06-21 16:58:22,Delhi,"Eggs, Juice, Sugar",1265.42,Card,2025-06-21 17:52:22,54.0,0
ORD100013,USR4582,2025-06-14 21:39:18,Bangalore,Flour,397.27,UPI,2025-06-14 22:44:18,65.0,0
ORD100014,USR4811,2025-06-11 02:51:55,Mumbai,Snacks,354.55,Cash,2025-06-11 03:57:55,66.0,0
ORD100015,USR9279,2025-06-25 11:47:48,Pune,"Sugar, Rice, Milk, Fruits, Snacks",356.77,Wallet,2025-06-25 12:17:48,30.0,1
ORD100016,USR1434,2025-07-01 00:30:12,Hyderabad,"Sugar, Juice",525.94,Card,2025-07-01 01:47:12,77.0,0
ORD100017,USR4257,2025-06-06 15:19:26,Pune,"Milk, Bread",834.66,Card,2025-06-06 16:18:26,59.0,0
ORD100018,USR9928,2025-06-09 04:15:59,Bangalore,"Fruits, Sugar, Juice",704.72,UPI,2025-06-09 04:57:59,42.0,1
ORD100019,USR7873,2025-06-15 15:49:32,Pune,"Flour, Vegetables, Sugar, Eggs, Bread",507.72,Card,2025-06-15 16:05:32,16.0,1
ORD100020,USR4611,2025-06-07 17:05:41,Mumbai,Milk,956.59,Cash,2025-06-07 18:24:41,79.0,0
ORD100021,USR8359,2025-07-01 01:57:36,Delhi,"Sugar, Flour, Rice, Bread",295.29,UPI,2025-07-01 02:21:36,24.0,1
ORD100022,USR5557,2025-06-24 06:40:51,Pune,Snacks,509.0,UPI,2025-06-24 07:21:51,41.0,1
ORD100023,USR1106,2025-06-10 22:06:33,Bangalore,Juice,612.91,Cash,2025-06-10 23:30:33,84.0,0
ORD100024,USR3615,2025-06-25 14:32:45,Kolkata,Vegetables,738.5,UPI,2025-06-25 15:01:45,29.0,1
ORD100025,USR7924,2025-06-14 06:30:22,Bangalore,"Rice, Fruits, Bread, Milk, Sugar",1199.25,UPI,2025-06-14 06:54:22,24.0,1
ORD100026,USR6574,2025-06-09 20:46:10,Chennai,"Vegetables, Bread",379.54,UPI,2025-06-09 21:43:10,57.0,0
ORD100027,USR5552,2025-06-19 07:20:18,Pune,"Bread, Vegetables, Juice, Fruits",819.93,Cash,2025-06-19 08:40:18,80.0,0
ORD100028,USR3547,2025-06-23 04:42:38,Kolkata,"Vegetables, Bread, Juice, Flour",929.38,UPI,2025-06-23 05:12:38,30.0,1
ORD100029,USR4527,2025-07-02 01:42:40,Mumbai,"Juice, Snacks, Eggs",165.03,Cash,2025-07-02 02:33:40,51.0,0
ORD100030,USR6514,2025-06-19 12:37:29,Mumbai,"Milk, Vegetables, Rice, Fruits",950.56,Cash,2025-06-19 13:12:29,35.0,1
ORD100031,USR2674,2025-06-23 15:20:47,Chennai,"Fruits, Vegetables, Milk",338.73,Wallet,2025-06-23 15:43:47,23.0,1
ORD100032,USR2519,2025-06-05 22:01:00,Kolkata,"Bread, Sugar",191.07,Cash,2025-06-05 23:07:00,66.0,0
ORD100033,USR7224,2025-07-03 01:24:14,Pune,"Flour, Juice, Fruits",1428.44,Card,2025-07-03 02:10:14,46.0,0
ORD100034,USR2584,2025-06-18 11:16:32,Hyderabad,"Milk, Juice, Flour, Vegetables, Snacks",1451.88,Card,2025-06-18 12:23:32,67.0,0
ORD100035,USR6881,2025-06-13 22:56:28,Kolkata,"Sugar, Fruits, Rice, Eggs",1231.76,Wallet,2025-06-13 23:26:28,30.0,1
ORD100036,USR6635,2025-06-16 21:48:19,Hyderabad,Juice,526.46,UPI,2025-06-16 23:06:19,78.0,0
ORD100037,USR5333,2025-06-28 23:40:41,Chennai,Flour,236.74,Card,2025-06-28 23:52:41,12.0,1
